pc,group,top_module,other_module,top_module_display,other_module_display,n_pairs,top_module_mean,other_module_mean,mean_difference_top_minus_other,paired_t_statistic,raw_p,holm_adjusted_p,significance
1,observed,metabolic,immune,Cold-response thermogenesis / aerobic energy production,TLR4 / interferon / acute-inflammatory response,10,0.38092193931649126,0.3216943249742675,0.0592276143422238,6.896766919016594,7.092494190981454e-05,0.0006383244771883309,***
1,observed,metabolic,homeostatic,Cold-response thermogenesis / aerobic energy production,Lipid oxidation / cholesterol turnover,10,0.38092193931649126,0.29738373570924126,0.08353820360725,19.33906227588642,1.220948882690089e-08,1.4651386592281068e-07,***
1,permutation,metabolic,immune,Cold-response thermogenesis / aerobic energy production,TLR4 / interferon / acute-inflammatory response,1000,0.33406790465565855,0.33213582945691683,0.0019320751987417317,2.2320651382890415,0.02583173061141425,0.14366376885973065,ns
1,permutation,metabolic,homeostatic,Cold-response thermogenesis / aerobic energy production,Lipid oxidation / cholesterol turnover,1000,0.33406790465565855,0.3337962658874246,0.0002716387682339525,0.27961124884733884,0.7798336556404173,1.0,ns
2,observed,immune,metabolic,TLR4 / interferon / acute-inflammatory response,Cold-response thermogenesis / aerobic energy production,10,0.35121283855113916,0.31673406990027003,0.03447876865086906,7.217905500909209,4.9857886541835644e-05,0.0005044645585339946,***
2,observed,immune,homeostatic,TLR4 / interferon / acute-inflammatory response,Lipid oxidation / cholesterol turnover,10,0.35121283855113916,0.3320530915485909,0.019159747002548223,4.656075885457952,0.001191822846220811,0.008342759923545677,**
2,permutation,metabolic,immune,Cold-response thermogenesis / aerobic energy production,TLR4 / interferon / acute-inflammatory response,1000,0.3340284501244645,0.33266214151093937,0.001366308613525147,1.6137029263706875,0.10690768096350212,0.42763072385400847,ns
2,permutation,metabolic,homeostatic,Cold-response thermogenesis / aerobic energy production,Lipid oxidation / cholesterol turnover,1000,0.3340284501244645,0.33330940836459605,0.0007190417598685337,0.7823046299079648,0.4342209502554196,1.0,ns
3,observed,homeostatic,metabolic,Lipid oxidation / cholesterol turnover,Cold-response thermogenesis / aerobic energy production,10,0.38721107471580274,0.30721001806541504,0.0800010566503877,5.938667139438027,0.00021837235005616503,0.0017469788004493203,**
3,observed,homeostatic,immune,Lipid oxidation / cholesterol turnover,TLR4 / interferon / acute-inflammatory response,10,0.38721107471580274,0.3055789072187822,0.08163216749702049,7.295628444370111,4.586041441218133e-05,0.0005044645585339946,***
3,permutation,homeostatic,metabolic,Lipid oxidation / cholesterol turnover,Cold-response thermogenesis / aerobic energy production,1000,0.3340094493872498,0.33399090646719565,1.854292005411018e-05,0.019184465743064597,0.9846977806671782,1.0,ns
3,permutation,homeostatic,immune,Lipid oxidation / cholesterol turnover,TLR4 / interferon / acute-inflammatory response,1000,0.3340094493872498,0.33199964414555455,0.0020098052416952163,2.2614784948172573,0.023943961476621773,0.14366376885973065,ns
