model,analysis,group_id,ppi_group,count,mean,sem
main,protein_protein,0,1,16073,0.3878036449420981,0.002284740022984016
main,protein_protein,1,2,789791,0.4811236254720011,0.0003244033043766578
main,protein_protein,2,3,756411,0.5128526356399825,0.0003300621820226197
main,protein_protein,3,4,119642,0.5455353673634616,0.0008318741016209971
main,protein_protein,4,>4,9964,0.5729423014424957,0.0029331078057402617
repeat_median_rank_consensus,protein_protein,0,1,16073,0.40946305898733887,0.00210151730551518
repeat_median_rank_consensus,protein_protein,1,2,789791,0.49119382100427983,0.0002974383478374809
repeat_median_rank_consensus,protein_protein,2,3,756411,0.5190691010295442,0.0003065214936443577
repeat_median_rank_consensus,protein_protein,3,4,119642,0.5446295061493052,0.0007894745541864545
repeat_median_rank_consensus,protein_protein,4,>4,9964,0.5459854637966247,0.0028330750748622813
loo_without_repeat_01,protein_protein,0,1,16073,0.4080416570098732,0.0021117131501233706
loo_without_repeat_01,protein_protein,1,2,789791,0.49104222022088245,0.000298721601331483
loo_without_repeat_01,protein_protein,2,3,756411,0.5191401252349739,0.0003075984831701468
loo_without_repeat_01,protein_protein,3,4,119642,0.5447418667722712,0.0007903518754909343
loo_without_repeat_01,protein_protein,4,>4,9964,0.5455251825504895,0.0028205636030777565
loo_without_repeat_02,protein_protein,0,1,16073,0.41015168364883736,0.0021052694830360256
loo_without_repeat_02,protein_protein,1,2,789791,0.4916247816257521,0.00029791227275373735
loo_without_repeat_02,protein_protein,2,3,756411,0.5196350644595649,0.00030700560937376706
loo_without_repeat_02,protein_protein,3,4,119642,0.5450822480555081,0.0007915313987330853
loo_without_repeat_02,protein_protein,4,>4,9964,0.5442736066033762,0.002835564305143016
loo_without_repeat_03,protein_protein,0,1,16073,0.40863931121993036,0.002115239493379261
loo_without_repeat_03,protein_protein,1,2,789791,0.4918003654536331,0.00029939792801298885
loo_without_repeat_03,protein_protein,2,3,756411,0.519905240046639,0.00030815580341827376
loo_without_repeat_03,protein_protein,3,4,119642,0.5461644602096016,0.0007928725196352346
loo_without_repeat_03,protein_protein,4,>4,9964,0.5490742075587954,0.0028234083308241826
loo_without_repeat_04,protein_protein,0,1,16073,0.4090936771774448,0.0021032190580259564
loo_without_repeat_04,protein_protein,1,2,789791,0.49099157708527424,0.00029874149194911913
loo_without_repeat_04,protein_protein,2,3,756411,0.5188904607683896,0.00030784511656269955
loo_without_repeat_04,protein_protein,3,4,119642,0.5443084815655227,0.0007928402038794507
loo_without_repeat_04,protein_protein,4,>4,9964,0.5453925078450945,0.0028537563401233625
loo_without_repeat_05,protein_protein,0,1,16073,0.408588611957048,0.0021049099253905175
loo_without_repeat_05,protein_protein,1,2,789791,0.4914794910762413,0.0002979563132428869
loo_without_repeat_05,protein_protein,2,3,756411,0.5193269978130057,0.000307378011242977
loo_without_repeat_05,protein_protein,3,4,119642,0.5450080323963731,0.0007926205876009071
loo_without_repeat_05,protein_protein,4,>4,9964,0.5464621926036302,0.002840567855549627
loo_without_repeat_06,protein_protein,0,1,16073,0.4089061037724963,0.002116808761259171
loo_without_repeat_06,protein_protein,1,2,789791,0.4904033879408241,0.0003004089102796544
loo_without_repeat_06,protein_protein,2,3,756411,0.5180439989532847,0.00030973130536851774
loo_without_repeat_06,protein_protein,3,4,119642,0.542726929377883,0.0007975819898889239
loo_without_repeat_06,protein_protein,4,>4,9964,0.5460141517022982,0.0028591908141732472
loo_without_repeat_07,protein_protein,0,1,16073,0.4101033883421968,0.002114109022861036
loo_without_repeat_07,protein_protein,1,2,789791,0.4913459625233011,0.00029866754049236334
loo_without_repeat_07,protein_protein,2,3,756411,0.5195724384390925,0.000307838125610376
loo_without_repeat_07,protein_protein,3,4,119642,0.5461010732642884,0.0007930689622422821
loo_without_repeat_07,protein_protein,4,>4,9964,0.5467767211552742,0.0028534610071354856
loo_without_repeat_08,protein_protein,0,1,16073,0.4110782360533543,0.002114522356833256
loo_without_repeat_08,protein_protein,1,2,789791,0.4917582303747721,0.0002987162252425382
loo_without_repeat_08,protein_protein,2,3,756411,0.5189655188771963,0.00030734566318306
loo_without_repeat_08,protein_protein,3,4,119642,0.5440845561399638,0.0007902521391021544
loo_without_repeat_08,protein_protein,4,>4,9964,0.5444979006821591,0.0028248311160775277
loo_without_repeat_09,protein_protein,0,1,16073,0.41016478153198366,0.002105863842673596
loo_without_repeat_09,protein_protein,1,2,789791,0.4904278883074733,0.00029963303713853275
loo_without_repeat_09,protein_protein,2,3,756411,0.5186935193842096,0.00030916882447519625
loo_without_repeat_09,protein_protein,3,4,119642,0.5442032021076114,0.0007962047141630489
loo_without_repeat_09,protein_protein,4,>4,9964,0.5451070047502502,0.002875766937114509
loo_without_repeat_10,protein_protein,0,1,16073,0.4098631391602237,0.0021153552718301094
loo_without_repeat_10,protein_protein,1,2,789791,0.4910643054346452,0.0003002997512329742
loo_without_repeat_10,protein_protein,2,3,756411,0.5185176463190857,0.00031019263846128226
loo_without_repeat_10,protein_protein,3,4,119642,0.543874211604027,0.0008010528547649313
loo_without_repeat_10,protein_protein,4,>4,9964,0.5467311625148796,0.002890340934502914
