compound,smiles,source_row,duplicate_name_count
Coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,1184,1
Calycosin,COc1ccc(cc1O)c1coc2c(c1=O)ccc(c2)O,1133,1
Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,1203,1
Glycyrol,COc1c(CC=C(C)C)c(O)cc2c1c1oc3c(c1c(=O)o2)ccc(c3)O,104,1
Enoxolone,O=C1C=C2[C@@H]3C[C@](C)(CC[C@]3(C)CC[C@]2([C@]2([C@H]1[C@@]1(C)CC[C@@H](C([C@@H]1CC2)(C)C)O)C)C)C(=O)O,40,1
Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,154,1
Naringenin,Oc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O,228,1
Beta-Sitosterol,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,1103,1
Protocatechuic Acid,C1=CC(=C(C=C1C(=O)O)O)O,317,1
Formononetin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,79,1
(-)-Epicatechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,108,1
8-Prenylnaringenin,CC(=CCc1c(O)cc(c2c1O[C@@H](CC2=O)c1ccc(cc1)O)O)C,811,1
Pinocembrin,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1,298,1
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,96,1
Anethole,C[C@H]1CCOc2c1cccc2,834,2
Oleanolic_Acid,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,248,1
Liquiritin,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O,182,1
Galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,85,1
Emodin,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,37,1
Rutin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,358,1
Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,70,1
Licoagrochacone A,CC(C)(C=C)C1=C(C=C(C(=C1)C=CC(=O)C2=CC=C(C=C2)O)OC)O,174,1
Chrysoeriol,COc1cc(ccc1O)c1cc(=O)c2c(o1)cc(cc2O)O,1164,1
Paraben,Oc1ccc(cc1)C(=O)O,277,1
Glycybenzofuran,COc1c(CC=C(C)C)c(O)cc(c1c1oc2c(c1C)ccc(c2)O)O,103,1
Astragalin,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,907,1
Licochalcone D,COc1c(/C=C/C(=O)c2ccc(c(c2)CC=C(C)C)O)ccc(c1O)O,473,1
Apigenin,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,886,1
Isoliquiritigenin,C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O,142,1
Glycyrrhizin,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,105,1
Hispidulin,COc1c(O)cc2c(c1O)c(=O)cc(o2)c1ccc(cc1)O,115,1
Isoquercetin,OC[C@H]1O[C@@H](Oc2c(oc3c(c2=O)c(O)cc(c3)O)c2ccc(c(c2)O)O)[C@@H]([C@H]([C@@H]1O)O)O,146,1
"2,3,9,10-Tetramethoxy-6,8,13,13A-Tetrahydro-5H-Isoquinolino[2,1-B]Isoquinoline",COc1cc2CCN3C(c2cc1OC)Cc1c(C3)c(OC)c(cc1)OC,578,1
Epicatechin Gallate,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1ccc(c(c1)O)O,41,1
Esculetin,C1=CC(=O)OC2=CC(=C(C=C21)O)O,49,1
Gallic Acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,86,1
"5,7-Dihydroxy-2-(4-Hydroxyphenyl)-2,3-Dihydrochromen-4-One",C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,782,1
8-Prenylapigenin,CC(=CCc1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O)C,809,1
Cinnamic Acid,C1=CC=C(C=C1)C=CC(=O)O,1168,1
Glabridin,Oc1ccc(c(c1)O)[C@@H]1COc2c(C1)ccc1c2C=CC(O1)(C)C,100,1
Dibenzoylmethane,O=C(c1ccccc1)CC(=O)c1ccccc1,12,1
Uralsaponin A,O[C@@H]1[C@@H](O[C@@H]2O[C@H](C(=O)[O-])[C@H]([C@@H]([C@H]2O)O)O)[C@@H](O[C@@H]([C@H]1O)C(=O)[O-])O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)[O-])C)C)C,628,1
Isotrifoliol,COc1cc(O)cc2c1c1oc3c(c1c(=O)o2)ccc(c3)O,744,1
Glycycoumarin,COc1c(CC=C(C)C)c(O)cc2c1cc(c(=O)o2)c1ccc(cc1O)O,742,1
Psoralen,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21,319,1
Palmitic Acid,CCCCCCCCCCCCCCCC(=O)O,271,1
Dibutyl Phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,13,1
Dictamnine,COc1c2ccccc2nc2c1cco2,15,1
Indole,C1=CC=C2C(=C1)C=CN2,133,1
Carvacrol,CC1=CCC(CC1=O)C(=C)C,557,2
Malonic Acid,OC(=O)CC(=O)O,192,1
Fumaric Acid,OC(=O)/C=C/C(=O)O,82,1
Linolenic Acid,CCC=CCC=CCC=CCCCCCCCC(=O)O,179,1
Limonene,CC1=CCC(CC1)C(=C)C,484,1
Z-Butylidenephthalide,CCCC=C1C2=CC=CC=C2C(=O)O1,469,1
Nonane,CCCCCCCCC,237,1
Nodakenin,CC(C)(C1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)OC4C(C(C(C(O4)CO)O)O)O,236,1
Succinic Acid,C(CC(=O)O)C(=O)O,401,1
Adenine,C1=NC2=NC=NC(=C2N1)N,836,1
Niacin,C1=CC(=CN=C1)C(=O)O,231,1
Octanoic Acid,CCCCCCCC(=O)O,244,1
Dimethyl Phthalate,COC(=O)c1ccccc1C(=O)OC,562,1
Folic Acid,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(O)nc(=N)[nH]2,77,1
Naphthalene,C1=CC=C2C=CC=CC2=C1,226,2
Oleic Acid,CCCCCCCCC=CCCCCCCCC(=O)O,249,1
Squalene,C/C(=CCC/C=C(/CC/C=C(/CCC=C(C)C)C)C)/CC/C=C(/CCC=C(C)C)C,493,1
Vanillic Acid,COC1=C(C=CC(=C1)C(=O)O)O,458,1
Oleamide,CCCCCCCC/C=C\CCCCCCCC(=N)O,247,1
Linoleic Acid,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,178,1
Butyl Alcohol,CCCCO,1125,1
Propionic Acid,CCC(=O)O,504,1
Alcohol,CCO,840,1
Decursinol,O=c1ccc2c(o1)cc1c(c2)C[C@@H](C(O1)(C)C)O,1,1
1-Tetradecanol,CCCCCCCCCCCCCCO,561,1
Gamma-Aminobutyric Acid,C(CC(=O)O)CN,89,1
Vanillin,COC1=C(C=CC(=C1)C=O)O,459,1
Citronellol,OCC[C@@H](CCC=C(C)C)C,614,2
Ethyl Acetate,CCOC(=O)C,56,1
Chlorogenic Acid,O=C(O[C@H]1C[C@](O)(C[C@@H]([C@@H]1O)O)C(=O)[O-])/C=C/c1ccc(c(c1)O)O,806,2
O-Cresol,CC1=CC=CC=C1O,534,1
Isoeugenol,CC=CC1=CC(=C(C=C1)O)OC,138,1
Linalool,CC(=CCCC(C)(C=C)O)C,177,1
Falcarinol,CCCCCCC/C=C\CC#CC#C[C@H](C=C)O,502,1
Disogenin,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1,28,1
Brefeldin A,O[C@H]1C[C@H]2[C@H](C1)/C=C/CCC[C@H](OC(=O)/C=C/[C@@H]2O)C,756,1
Caffeic Acid,C1=CC(=C(C=C1C=CC(=O)O)O)O,1128,1
"(2E,4E)-Deca-2,4-Dienal",CCCCCC=CC=CC=O,812,1
Phenol,Oc1ccccc1,286,1
Uracil,C1=CNC(=O)NC1=O,541,1
Bergapten,COc1c2ccc(=O)oc2cc2c1cco2,1098,1
Terpineol,CC1=CCC(CC1)(O)C(C)C,503,1
Methoxsalen,COc1c2oc(=O)ccc2cc2c1occ2,202,1
"3(S)-3-Butyl-4,5-Dihydrophthalide",CCCCC1C2=C(C=CCC2)C(=O)O1,708,1
Citric Acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1171,1
Scopoletin,COc1cc2ccc(=O)oc2cc1O,373,1
2-Nonenal,CCCCCCC=CC=O,685,1
Ligustilide,CCC/C=C/1\OC(=O)C2=C1CCC=C2,175,1
Azelaic Acid,[O-]C(=O)CCCCCCCC(=O)[O-],542,2
Angelicin,C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3,879,1
Isoimperatorin,CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)C,141,1
Lignoceric Acid,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,569,1
Methyleugenol,C=CCc1ccc(c(c1)OC)OC,206,1
Ferulic Acid,COc1cc(/C=C/C(=O)O)ccc1O,69,1
Alpha-Terpineol,CC1=CCC(CC1)C(C)(C)O,508,1
Stigmasterol,CC[C@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,725,3
Safrole,C=CCc1ccc2c(c1)OCO2,362,1
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,335,1
Retinal,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C,347,1
Eugenol,COC1=C(C=CC(=C1)CC=C)O,60,1
Isovitexin,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O,149,1
Maltose,OC[C@H]1O[C@@H](O)[C@@H]([C@H]([C@@H]1O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O,553,2
Besigomsin,COc1cc2C[C@](C)(O)[C@@H](C)Cc3c(c2c(c1OC)OC)c(OC)c1c(c3)OCO1,1101,1
Ginsenoside Rg2,OC[C@H]1O[C@@H](O[C@H]2C[C@]3(C)[C@@H]([C@@]4([C@@H]2C(C)(C)[C@@H](O)CC4)C)C[C@H]([C@H]2[C@@]3(C)CC[C@@H]2[C@](CCC=C(C)C)(O)C)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O,839,2
Piceatannol,Oc1cc(/C=C/c2ccc(c(c2)O)O)cc(c1)O,294,1
Riboflavin,OC[C@H]([C@H]([C@H](Cn1c2cc(C)c(cc2nc2c1nc(=O)nc2O)C)O)O)O,352,1
Toluene,CC1=CC=CC=C1,431,1
Schisandrin B,COc1cc2CC(C)C(C)Cc3c(c2c(c1OC)OC)c(OC)c1c(c3)OCO1,371,1
Farnesol,CC(=CCCC(=CCCC(=CCO)C)C)C,68,1
Sucrose,OC[C@H]1O[C@@]([C@H]([C@@H]1O)O)(CO)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,548,1
(20S)-Protopanaxadiol,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C,787,1
Stearic Acid,CCCCCCCCCCCCCCCCCC(=O)O,397,1
Benzaldehyde,O=c1cccccc1,568,2
Butylated Hydroxytoluene,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,1126,1
Ginsenoside Rd,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@@](O[C@@H]2O[C@H](CO)[C@H]([C@@H]([C@H]2O)O)O)(CCC=C(C)C)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,796,1
O-Xylene,CC1=CC=CC=C1C,263,1
Alpha-Humulone,CC1=CCC(C=CCC(=CCC1)C)(C)C,527,1
Myristic Acid,CCCCCCCCCCCCCC(=O)O,218,1
Mannose,OC[C@H]1O[C@H](O)[C@H]([C@H]([C@@H]1O)O)O,655,1
Vitexin,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O,463,1
Adenosine Triphosphate,O[C@H]1[C@H](COP(=O)(OP(=O)(OP(=O)([O-])[O-])[O-])[O-])O[C@@H]([C@H]1O)n1cnc2c1ncnc2N,825,1
Ginsenoside Rg1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CC(C4C3(CCC(C4(C)C)O)C)OC5C(C(C(C(O5)CO)O)O)O)C)O)C)OC6C(C(C(C(O6)CO)O)O)O)C,676,1
"(1R,9S)-4,11,11-Trimethyl-8-Methylenebicyclo[7.2.0]Undec-4-Ene,Caryophellene,Β-Caryophyllene",CC1=CCCC(=C)C2CC(C2CC1)(C)C,728,1
Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,345,1
Bisphenol A,CC(c1ccc(cc1)O)(c1ccc(cc1)O)C,1118,1
Spermidine,NCCCNCCCCN,393,1
Ginsenoside Rb2,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@@](O[C@@H]2O[C@H](CO[C@@H]3OC[C@@H]([C@@H]([C@H]3O)O)O)[C@H]([C@@H]([C@H]2O)O)O)(CCC=C(C)C)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,776,1
Heptadecane,CCCCCCCCCCCCCCCCC,573,1
Trans-Phytol,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,436,1
Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O,364,1
Tricin,COC1=CC(=CC(=C1O)OC)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,438,1
Ginsenoside Rb1,OC[C@H]1O[C@@H](O[C@H]2CC[C@]3([C@H](C2(C)C)CC[C@@]2([C@@H]3C[C@@H](O)[C@H]3[C@@]2(C)CC[C@@H]3[C@@](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)[C@H]([C@@H]([C@H]2O)O)O)(CCC=C(C)C)C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,784,2
Octanol,CCCCCCCCO,245,1
Syringin,OC/C=C/c1cc(OC)c(c(c1)OC)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,404,1
Putrescine,C(CCN)CN,324,1
Palmitoleic Acid,CCCCCC/C=C\CCCCCCCC(=O)O,273,1
M-Xylene,CC1=CC(=CC=C1)C,215,1
Tetradecane,CCCCCCCCCCCCCC,572,1
