herbs,categories,rank
白芍,Cold & Cool,256
黄芩,Cold & Cool,658
黄连,Cold & Cool,327
大黄,Cold & Cool,497
干地黄,Cold & Cool,450
麦门冬,Cold & Cool,733
枳壳,Cold & Cool,401
朱砂,Cold & Cool,613
柴胡,Cold & Cool,537
赤芍,Cold & Cool,404
栀子,Cold & Cool,579
升麻,Cold & Cool,540
黄柏,Cold & Cool,299
石膏,Cold & Cool,695
香附,Cold & Cool,129
梅花冰片,Cold & Cool,614
白矾,Cold & Cool,175
知母,Cold & Cool,623
木通,Cold & Cool,539
牡丹皮,Cold & Cool,471
玄参,Cold & Cool,543
连翘,Cold & Cool,594
犀角,Cold & Cool,564
泽泻,Cold & Cool,375
轻粉,Cold & Cool,218
薄荷,Cold & Cool,698
桑白皮,Cold & Cool,730
天花粉,Cold & Cool,487
川贝母,Cold & Cool,772
牛黄,Cold & Cool,629
枳实,Cold & Cool,583
前胡,Cold & Cool,697
地骨皮,Cold & Cool,606
滑石,Cold & Cool,615
三棱,Cold & Cool,261
羚羊角,Cold & Cool,428
菊花,Cold & Cool,442
牛蒡子,Cold & Cool,738
鳖甲,Cold & Cool,349
铅丹,Cold & Cool,104
牵牛子,Cold & Cool,649
芒消,Cold & Cool,628
车前子,Cold & Cool,263
秦艽,Cold & Cool,598
金银花,Cold & Cool,236
蝉蜕,Cold & Cool,411
天门冬,Cold & Cool,758
青黛,Cold & Cool,618
穿山甲,Cold & Cool,61
苦参,Cold & Cool,227
防己,Cold & Cool,591
薏苡仁,Cold & Cool,712
石斛,Cold & Cool,526
硼砂,Cold & Cool,742
牡蛎,Cold & Cool,237
龙胆,Cold & Cool,425
丹参,Cold & Cool,731
朴消,Cold & Cool,650
珍珠,Cold & Cool,318
地榆,Cold & Cool,155
郁金,Cold & Cool,601
蔓荆子,Cold & Cool,416
胡黄连,Cold & Cool,370
葶苈子,Cold & Cool,700
寒水石,Cold & Cool,634
白蔹,Cold & Cool,191
川楝子,Cold & Cool,122
地龙,Cold & Cool,503
水银,Cold & Cool,359
赤小豆,Cold & Cool,355
柑皮,Cold & Cool,344
铅粉,Cold & Cool,220
麻油,Cold & Cool,133
五倍子,Cold & Cool,273
大青盐,Cold & Cool,544
白及,Cold & Cool,66
天竹黄,Cold & Cool,753
芦荟,Cold & Cool,332
射干,Cold & Cool,699
竹茹,Cold & Cool,715
食盐,Cold & Cool,494
甘遂,Cold & Cool,525
栝楼,Cold & Cool,555
决明子,Cold & Cool,418
龟甲,Cold & Cool,189
胆星,Cold & Cool,662
孩儿茶,Cold & Cool,515
瞿麦,Cold & Cool,439
钩藤,Cold & Cool,434
茵陈蒿,Cold & Cool,705
沙参,Cold & Cool,330
常山,Cold & Cool,666
白鲜皮,Cold & Cool,664
百合,Cold & Cool,763
侧柏叶,Cold & Cool,132
龙齿,Cold & Cool,603
铜绿,Cold & Cool,435
罂粟壳,Cold & Cool,96
石决明,Cold & Cool,283
枇杷叶,Cold & Cool,683
竹叶,Cold & Cool,569
胆矾,Cold & Cool,545
蛤蜊粉,Cold & Cool,426
熊胆,Cold & Cool,203
槐花,Cold & Cool,45
槐角,Cold & Cool,58
益母草,Cold & Cool,197
代赭石,Cold & Cool,399
紫草,Cold & Cool,761
银箔,Cold & Cool,478
蕤仁,Cold & Cool,268
青木香,Cold & Cool,444
冬葵子,Cold & Cool,120
大戟,Cold & Cool,725
雷丸,Cold & Cool,52
灯心草,Cold & Cool,701
白薇,Cold & Cool,306
柳枝,Cold & Cool,215
通草,Cold & Cool,493
栝楼子,Cold & Cool,724
猪脂膏,Cold & Cool,437
白茅根,Cold & Cool,485
淡竹叶,Cold & Cool,597
青蒿,Cold & Cool,696
藜芦,Cold & Cool,551
青葙子,Cold & Cool,163
海藻,Cold & Cool,531
芦根,Cold & Cool,648
茺蔚子,Cold & Cool,160
玄明粉,Cold & Cool,684
桑叶,Cold & Cool,659
漏芦,Cold & Cool,186
虾蟆,Cold & Cool,97
铅霜,Cold & Cool,710
大青,Cold & Cool,661
绿矾,Cold & Cool,281
人中白,Cold & Cool,484
昆布,Cold & Cool,291
贯众,Cold & Cool,509
车前草,Cold & Cool,585
禹余粮,Cold & Cool,115
小麦,Cold & Cool,511
蒲公英,Cold & Cool,377
茜草,Cold & Cool,326
夜明砂,Cold & Cool,144
石韦,Cold & Cool,230
甘菊,Cold & Cool,633
甘草节,Cold & Cool,396
甜瓜蒂,Cold & Cool,693
虻虫,Cold & Cool,17
夏枯草,Cold & Cool,119
马兜铃,Cold & Cool,775
秦皮,Cold & Cool,643
商陆,Cold & Cool,294
地肤子,Cold & Cool,394
鬼箭羽,Cold & Cool,548
茶叶,Cold & Cool,726
蜇虫,Cold & Cool,246
苍耳,Cold & Cool,553
酥,Cold & Cool,527
铅,Cold & Cool,350
蟾蜍,Cold & Cool,304
密蒙花,Cold & Cool,415
绿豆,Cold & Cool,577
猪肉,Cold & Cool,27
竹沥,Cold & Cool,462
楮实,Cold & Cool,492
绿豆粉,Cold & Cool,779
防葵,Cold & Cool,460
马钱子,Cold & Cool,131
浮萍,Cold & Cool,486
墨旱莲,Cold & Cool,524
浙贝母,Cold & Cool,780
石莲,Cold & Cool,31
八角莲,Cold & Cool,647
苦楝皮,Cold & Cool,77
海金沙,Cold & Cool,201
紫花地丁,Cold & Cool,121
粟米,Cold & Cool,436
蜗牛,Cold & Cool,135
榆白皮,Cold & Cool,168
冬瓜子,Cold & Cool,657
蜣螂,Cold & Cool,214
荸荠,Cold & Cool,593
天灵盖,Cold & Cool,367
石燕,Cold & Cool,173
大青叶,Cold & Cool,642
水苏,Cold & Cool,595
梨,Cold & Cool,627
猪胆,Cold & Cool,611
甘草梢,Cold & Cool,412
芝麻菜,Cold & Cool,773
黑参,Cold & Cool,302
蛇含石,Cold & Cool,561
忍冬藤,Cold & Cool,180
山慈菇,Cold & Cool,213
玄精石,Cold & Cool,686
虎睛,Cold & Cool,530
芙蓉叶,Cold & Cool,272
马齿苋,Cold & Cool,50
人中黄,Cold & Cool,228
象牙,Cold & Cool,323
大蓟,Cold & Cool,694
女贞子,Cold & Cool,356
莲子心,Cold & Cool,735
椿白皮,Cold & Cool,13
蚱蝉,Cold & Cool,624
银柴胡,Cold & Cool,343
虎杖,Cold & Cool,93
生姜皮,Cold & Cool,665
甜瓜子,Cold & Cool,328
人尿,Cold & Cool,562
凌霄花,Cold & Cool,16
莱菔,Cold & Cool,307
白头翁,Cold & Cool,243
小蓟,Cold & Cool,417
针砂,Cold & Cool,506
黄药子,Cold & Cool,134
板蓝根,Cold & Cool,612
荠苨,Cold & Cool,688
泽漆,Cold & Cool,755
无名异,Cold & Cool,254
藕,Cold & Cool,520
铁,Cold & Cool,368
土贝母,Cold & Cool,491
败酱,Cold & Cool,126
鲜地黄,Cold & Cool,756
桑椹子,Cold & Cool,6
豨莶,Cold & Cool,451
蝼蛄,Cold & Cool,111
西洋参,Cold & Cool,57
曾青,Cold & Cool,719
秫米,Cold & Cool,372
浮海石,Cold & Cool,381
萹蓄,Cold & Cool,378
石龙芮,Cold & Cool,340
牛胆,Cold & Cool,165
北沙参,Cold & Cool,589
棘针,Cold & Cool,65
马蔺花,Cold & Cool,71
石见穿,Cold & Cool,158
蔷薇根,Cold & Cool,563
水牛角,Cold & Cool,14
鸡冠花,Cold & Cool,28
红大戟,Cold & Cool,342
蛤壳,Cold & Cool,474
秋石,Cold & Cool,546
牡鼠粪,Cold & Cool,743
浮石,Cold & Cool,767
牛乳,Cold & Cool,99
丝瓜,Cold & Cool,604
