herbs,categories,rank
白芍,Cold & Cool,352
黄芩,Cold & Cool,220
黄连,Cold & Cool,215
大黄,Cold & Cool,187
干地黄,Cold & Cool,452
麦门冬,Cold & Cool,312
枳壳,Cold & Cool,177
朱砂,Cold & Cool,655
柴胡,Cold & Cool,646
赤芍,Cold & Cool,433
栀子,Cold & Cool,120
升麻,Cold & Cool,288
黄柏,Cold & Cool,103
石膏,Cold & Cool,602
香附,Cold & Cool,361
梅花冰片,Cold & Cool,281
白矾,Cold & Cool,270
知母,Cold & Cool,597
木通,Cold & Cool,77
牡丹皮,Cold & Cool,635
玄参,Cold & Cool,225
连翘,Cold & Cool,253
犀角,Cold & Cool,448
泽泻,Cold & Cool,360
轻粉,Cold & Cool,208
薄荷,Cold & Cool,366
桑白皮,Cold & Cool,363
天花粉,Cold & Cool,535
川贝母,Cold & Cool,538
牛黄,Cold & Cool,503
枳实,Cold & Cool,128
前胡,Cold & Cool,601
地骨皮,Cold & Cool,579
滑石,Cold & Cool,140
三棱,Cold & Cool,202
羚羊角,Cold & Cool,720
菊花,Cold & Cool,573
牛蒡子,Cold & Cool,204
鳖甲,Cold & Cool,497
铅丹,Cold & Cool,265
牵牛子,Cold & Cool,317
芒消,Cold & Cool,88
车前子,Cold & Cool,269
秦艽,Cold & Cool,704
金银花,Cold & Cool,35
蝉蜕,Cold & Cool,245
天门冬,Cold & Cool,555
青黛,Cold & Cool,158
穿山甲,Cold & Cool,144
苦参,Cold & Cool,515
防己,Cold & Cool,501
薏苡仁,Cold & Cool,530
石斛,Cold & Cool,677
硼砂,Cold & Cool,25
牡蛎,Cold & Cool,725
龙胆,Cold & Cool,514
丹参,Cold & Cool,159
朴消,Cold & Cool,194
珍珠,Cold & Cool,235
地榆,Cold & Cool,199
郁金,Cold & Cool,104
蔓荆子,Cold & Cool,577
胡黄连,Cold & Cool,79
葶苈子,Cold & Cool,301
寒水石,Cold & Cool,186
白蔹,Cold & Cool,236
