top_k,module,pc,repeat_mean_column_share,repeat_sd_column_share,repeat_mean_raw_exposure,repeat_sd_raw_exposure,n_repeats
100,homeostatic,1,0.31041162996565425,0.017641439624795245,0.11024263095110017,0.014320676706824947,10
100,homeostatic,2,0.3098779269938274,0.020988129263726434,0.11601160185314856,0.0313499292192281,10
100,homeostatic,3,0.4192662580257961,0.052490407329135104,0.12075612071101142,0.0323905120166113,10
100,immune,1,0.3025173060012737,0.025269456320907605,0.10734649120014486,0.014947453564973817,10
100,immune,2,0.35750641868706723,0.02447492860446255,0.13363400227986552,0.03531177526374622,10
100,immune,3,0.2878263815028336,0.036608272050630934,0.08318010006095403,0.024568532867529046,10
100,metabolic,1,0.38707106403307207,0.03364553964312213,0.13841897219024665,0.026785799393843727,10
100,metabolic,2,0.33261565431910534,0.0201706637424649,0.12293089827960169,0.023725368786414326,10
100,metabolic,3,0.29290736047137034,0.03910942656248542,0.08352632249570861,0.019730834477320963,10
150,homeostatic,1,0.30057621336305707,0.009907890425411577,0.16846311975822978,0.02181727855508849,10
150,homeostatic,2,0.32995043096519067,0.025630941284907293,0.18641421764096677,0.04124650057843029,10
150,homeostatic,3,0.39608860347216646,0.029219679206488377,0.18676834537705253,0.03110975450995357,10
150,immune,1,0.3138466297488531,0.011336094356481327,0.17623433226899787,0.026008186734530002,10
150,immune,2,0.3438973668316609,0.015322886181246095,0.19333417869611286,0.038010561353598156,10
150,immune,3,0.2986538419685495,0.022525678610489697,0.14178437423915252,0.028896249780628935,10
150,metabolic,1,0.3855771568880898,0.016990303559087747,0.21662082150280684,0.03163598449810277,10
150,metabolic,2,0.32615220220314844,0.019735234579269012,0.1822863712521571,0.028494155052962846,10
150,metabolic,3,0.3052575545592841,0.025306966937393524,0.14359363603180414,0.022707636991774194,10
200,homeostatic,1,0.29738373570924126,0.0035653863510201975,0.2267222399266414,0.021304785676439567,10
200,homeostatic,2,0.33205309154859086,0.008436264505039663,0.27213445805041575,0.04208862759683952,10
200,homeostatic,3,0.38721107471580274,0.024483312461899078,0.2491879648049637,0.035535501002834174,10
200,immune,1,0.3216943249742675,0.014012295751083004,0.24495153080641247,0.021244348134502797,10
200,immune,2,0.3512128385511391,0.007673922235668339,0.2878719978294097,0.044008195278262156,10
200,immune,3,0.3055789072187822,0.015514506061801088,0.19727294991860192,0.030996596446543304,10
200,metabolic,1,0.38092193931649126,0.013370026759244492,0.29031172004142414,0.027703420869100537,10
200,metabolic,2,0.31673406990027003,0.009528227833076929,0.25890059331989196,0.034822858209981725,10
200,metabolic,3,0.30721001806541504,0.020695057623128083,0.1973437591163829,0.025494040185409936,10
250,homeostatic,1,0.29744071812117606,0.009670160266897551,0.3021416879952712,0.03340191360770404,10
250,homeostatic,2,0.33075984339535347,0.007764955723097379,0.3564127788462885,0.0541604109702304,10
250,homeostatic,3,0.3668986785576109,0.01764473409211122,0.3150740162860416,0.02701968850336091,10
250,immune,1,0.33054923354776633,0.011316392099031356,0.33539863453473223,0.03334560573334789,10
250,immune,2,0.35382592092549686,0.009011908878206977,0.3817333230646731,0.06132076067075581,10
250,immune,3,0.3169885145411998,0.01524405175272546,0.2737734224717717,0.03789916251971277,10
250,metabolic,1,0.3720100483310576,0.018122947439939485,0.37691671934740834,0.03228866766211305,10
250,metabolic,2,0.3154142356791497,0.009364436286488347,0.3393992534213933,0.04948301270913832,10
250,metabolic,3,0.31611280690118926,0.015138982599289788,0.27243570253266497,0.03343922407511855,10
300,homeostatic,1,0.30218783965099943,0.006517455968986972,0.3683733653461451,0.039385035641147724,10
300,homeostatic,2,0.32948797459560836,0.0061808401893673065,0.43289536918497873,0.047268252898669226,10
300,homeostatic,3,0.3532631810301245,0.010196251212684223,0.3679777451557544,0.025954771987394525,10
300,immune,1,0.3318916421863397,0.010533817619101143,0.4044843772310994,0.04347588253150403,10
300,immune,2,0.351743818833535,0.009777370458538591,0.463158829614296,0.060370016463225616,10
300,immune,3,0.31601473404214897,0.01137282240586506,0.33012299593262584,0.03579169398230936,10
300,metabolic,1,0.36592051816266086,0.01428943530258102,0.44512478492424135,0.038689169917954895,10
300,metabolic,2,0.3187682065708567,0.010492712992151949,0.41812034211459304,0.04074653747174835,10
300,metabolic,3,0.33072208492772653,0.0067922450927525805,0.3450786243239131,0.031351375647285025,10
