permutation,null_type,group_id,ppi_group,count,mean,sem
1,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12588,0.4858256457696294,0.0025368535328567747
1,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,910462,0.49893639030523423,0.00030128400731862354
1,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,679936,0.5024371067392155,0.00035175891294453147
1,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,88398,0.4922387238379758,0.0009729777901629822
1,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4177,0.4692037810685295,0.0044119973359778766
2,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12996,0.4915815282802077,0.0024939080302623373
2,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,903753,0.4972516891052999,0.00030249518974953554
2,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,689599,0.5058343535206518,0.00034930676828987504
2,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,86920,0.491064074729357,0.0009864953128467986
2,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4135,0.500211878436648,0.004398440243186572
3,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12667,0.5112261901859282,0.002605242067241751
3,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,907987,0.49945562118372033,0.0003015701029383635
3,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,685416,0.5033922797405764,0.00035000216968218494
3,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,82004,0.4835757734487879,0.001024086572008724
3,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,5646,0.4859334052530525,0.003766236382789304
4,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12619,0.5042164485531545,0.0025896524265220156
4,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,902693,0.4963712776620318,0.0003032792389328338
4,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,701043,0.5022307397432604,0.0003450458017304201
4,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,78158,0.5200026667806598,0.0010547025638998238
4,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2890,0.6087081166068598,0.005539614311060199
5,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12612,0.5075119589440847,0.002524006809001645
5,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,872294,0.5018064550639584,0.00030727190899554433
5,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,727250,0.49703171044523986,0.0003404184331317597
5,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,81495,0.5080655449298762,0.0010228929115544466
5,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,1910,0.517499855360574,0.00665333528947915
6,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12716,0.5069017931675188,0.0025742950019023414
6,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,908306,0.4998069059116741,0.00030312343144445257
6,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,682306,0.5006153282828228,0.00034863244531180125
6,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,86831,0.5100714936358185,0.0009858837791702512
6,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3561,0.49806293552611497,0.0049755083778019816
7,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12858,0.4989989242053209,0.002551054633905625
7,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,881900,0.49719806895230284,0.00030724280908098455
