Node1,Node2,Weight,Gene/Symptom overlap
"abnormalities, multiple",diabetes mellitus,0.614538252,TRUE
"abnormalities, multiple",obesity,0.593542218,TRUE
"abnormalities, multiple",sensation disorders,0.603596687,TRUE
diabetes mellitus,lung neoplasms,0.607731223,TRUE
diabetes mellitus,obesity,0.655420244,TRUE
diabetes mellitus,sensation disorders,0.639889598,TRUE
obesity,"diabetes mellitus, type 2",0.62460345,TRUE
obesity,epilepsy,0.664914727,TRUE
obesity,lung neoplasms,0.653150737,TRUE
obesity,metabolic syndrome x,0.595739186,TRUE
sensation disorders,retinitis pigmentosa,0.610958338,TRUE
sensation disorders,urination disorders,0.611189187,FALSE
lung neoplasms,"diabetes mellitus, type 2",0.622076988,TRUE
lung neoplasms,metabolic syndrome x,0.604634762,TRUE
epilepsy,arteriosclerosis,0.616968632,FALSE
epilepsy,"cardiomyopathy, hypertrophic",0.622706652,TRUE
epilepsy,lung neoplasms,0.624248982,FALSE
epilepsy,neuromuscular diseases,0.645457685,TRUE
metabolic syndrome x,"diabetes mellitus, type 2",0.725020468,TRUE
retinitis pigmentosa,parkinson disease,0.581762552,FALSE
retinitis pigmentosa,vision disorders,0.580381095,TRUE
adenocarcinoma,gastrointestinal diseases,0.533323646,TRUE
adenocarcinoma,intestinal diseases,0.567456365,TRUE
adenocarcinoma,ovarian neoplasms,0.521336973,TRUE
gastrointestinal diseases,bacterial infections,0.519916952,TRUE
gastrointestinal diseases,"colitis, ulcerative",0.600940943,TRUE
gastrointestinal diseases,colonic diseases,0.616870582,TRUE
gastrointestinal diseases,intestinal diseases,0.658601105,TRUE
intestinal diseases,bacterial infections,0.64765662,TRUE
intestinal diseases,"colitis, ulcerative",0.790046156,TRUE
intestinal diseases,colonic diseases,0.83059448,TRUE
intestinal diseases,nutrition disorders,0.581956565,TRUE
ovarian neoplasms,"colitis, ulcerative",0.555686116,FALSE
ovarian neoplasms,colonic diseases,0.540240765,TRUE
ovarian neoplasms,"heart defects, congenital",0.547865391,FALSE
bacterial infections,"colitis, ulcerative",0.674356818,TRUE
bacterial infections,colonic diseases,0.691950321,TRUE
bacterial infections,nutrition disorders,0.640735388,TRUE
"colitis, ulcerative",biliary tract diseases,0.626119077,TRUE
"colitis, ulcerative",colonic diseases,0.832880735,TRUE
"colitis, ulcerative",nutrition disorders,0.607911766,TRUE
colonic diseases,nutrition disorders,0.595626652,TRUE
nutrition disorders,"infant, newborn, diseases",0.584071159,TRUE
alzheimer disease,brain diseases,0.678733409,TRUE
alzheimer disease,cerebrovascular disorders,0.652738869,TRUE
alzheimer disease,dementia,0.817751467,TRUE
alzheimer disease,epilepsy,0.616732419,TRUE
alzheimer disease,multiple sclerosis,0.613033414,TRUE
alzheimer disease,sleep disorders,0.591879785,TRUE
brain diseases,dementia,0.696052432,TRUE
brain diseases,epilepsy,0.630134225,TRUE
cerebrovascular disorders,dementia,0.617619872,TRUE
cerebrovascular disorders,macular degeneration,0.607081652,TRUE
cerebrovascular disorders,multiple sclerosis,0.650182843,TRUE
cerebrovascular disorders,muscular diseases,0.596350193,TRUE
cerebrovascular disorders,sleep disorders,0.612852395,FALSE
cerebrovascular disorders,spinal cord diseases,0.669049263,TRUE
dementia,multiple sclerosis,0.589704335,TRUE
dementia,sleep disorders,0.571868002,TRUE
multiple sclerosis,macular degeneration,0.623025537,TRUE
multiple sclerosis,sleep disorders,0.668459654,TRUE
multiple sclerosis,spinal cord diseases,0.584087431,TRUE
multiple sclerosis,vision disorders,0.575338364,TRUE
sleep disorders,arthritis,0.577616334,TRUE
sleep disorders,"arthritis, rheumatoid",0.62244153,TRUE
macular degeneration,retinal diseases,0.717349649,TRUE
macular degeneration,retinitis pigmentosa,0.599448085,TRUE
macular degeneration,vision disorders,0.672826588,TRUE
muscular diseases,cerebellar ataxia,0.621661186,TRUE
muscular diseases,peripheral nervous system diseases,0.627893567,TRUE
muscular diseases,spinal cord diseases,0.666564584,TRUE
muscular diseases,spinal diseases,0.704654217,TRUE
spinal cord diseases,spinal diseases,0.590502083,TRUE
arteriosclerosis,dyskinesias,0.637671113,FALSE
arteriosclerosis,"genital diseases, female",0.635336697,TRUE
arteriosclerosis,kidney diseases,0.59605062,TRUE
arteriosclerosis,neuromuscular diseases,0.673009992,FALSE
arteriosclerosis,urination disorders,0.659649909,FALSE
"cardiomyopathy, hypertrophic",breast neoplasms,0.653729737,FALSE
"cardiomyopathy, hypertrophic",dyskinesias,0.614813864,FALSE
"cardiomyopathy, hypertrophic",peripheral nervous system diseases,0.619637609,FALSE
"cardiomyopathy, hypertrophic",urination disorders,0.622411013,FALSE
neuromuscular diseases,cerebellar ataxia,0.666314364,TRUE
neuromuscular diseases,heart arrest,0.710288405,FALSE
arthritis,"arthritis, rheumatoid",0.661839008,TRUE
amyotrophic lateral sclerosis,macular degeneration,0.617117286,FALSE
amyotrophic lateral sclerosis,retinal degeneration,0.632969439,FALSE
amyotrophic lateral sclerosis,retinal diseases,0.62141335,FALSE
amyotrophic lateral sclerosis,retinitis pigmentosa,0.682890713,FALSE
retinal degeneration,blood coagulation disorders,0.623732269,TRUE
retinal degeneration,mouth diseases,0.625802279,FALSE
retinal degeneration,retinal diseases,0.657459259,TRUE
retinal degeneration,retinitis pigmentosa,0.625922501,TRUE
