repeat_model,main_pc,matched_repeat_pc,signed_correlation,absolute_correlation,sign_flipped
repeat_01,1,1,-0.9141275411060322,0.9141275411060322,True
repeat_01,2,2,-0.8276765305366708,0.8276765305366708,True
repeat_01,3,3,-0.8670336933849797,0.8670336933849797,True
repeat_01,4,4,0.8898471254549543,0.8898471254549543,False
repeat_01,5,6,0.7095925125771017,0.7095925125771017,False
repeat_01,6,5,0.7422852120796606,0.7422852120796606,False
repeat_02,1,1,-0.9121683906893315,0.9121683906893315,True
repeat_02,2,2,0.8336982222566098,0.8336982222566098,False
repeat_02,3,3,0.87680021335933,0.87680021335933,False
repeat_02,4,4,-0.9373886730395241,0.9373886730395241,True
repeat_02,5,5,0.8342568409804277,0.8342568409804277,False
repeat_02,6,6,-0.8754669549469316,0.8754669549469316,True
repeat_03,1,1,0.9190959597819929,0.9190959597819929,False
repeat_03,2,2,0.7942204085812459,0.7942204085812459,False
repeat_03,3,3,-0.7832815465248416,0.7832815465248416,True
repeat_03,4,4,-0.9174214991427057,0.9174214991427057,True
repeat_03,5,5,0.7771798057299694,0.7771798057299694,False
repeat_03,6,6,-0.7969502888166801,0.7969502888166801,True
repeat_04,1,1,-0.9417790075480779,0.9417790075480779,True
repeat_04,2,2,0.8227515732493856,0.8227515732493856,False
repeat_04,3,3,0.81695433010857,0.81695433010857,False
repeat_04,4,4,-0.8924368872806134,0.8924368872806134,True
repeat_04,5,6,-0.7468476530135357,0.7468476530135357,True
repeat_04,6,5,-0.7609870501515652,0.7609870501515652,True
repeat_05,1,1,0.9170628128693713,0.9170628128693713,False
repeat_05,2,2,0.83499918249356,0.83499918249356,False
repeat_05,3,3,0.8343886528934974,0.8343886528934974,False
repeat_05,4,4,-0.8747418466043299,0.8747418466043299,True
repeat_05,5,6,-0.696482641967616,0.696482641967616,True
repeat_05,6,5,0.6945027321053036,0.6945027321053036,False
repeat_06,1,1,0.9453552095041663,0.9453552095041663,False
repeat_06,2,2,-0.8520076690290473,0.8520076690290473,True
repeat_06,3,3,-0.8555865956803306,0.8555865956803306,True
repeat_06,4,4,-0.8969159985162828,0.8969159985162828,True
repeat_06,5,5,0.8643827194242801,0.8643827194242801,False
repeat_06,6,6,0.9294912235120663,0.9294912235120663,False
repeat_07,1,1,-0.9346717320419733,0.9346717320419733,True
repeat_07,2,2,-0.8376292618266118,0.8376292618266118,True
repeat_07,3,3,0.8385048526863889,0.8385048526863889,False
repeat_07,4,4,-0.8865641361507269,0.8865641361507269,True
repeat_07,5,6,0.8202563414879168,0.8202563414879168,False
repeat_07,6,5,-0.8588183344924668,0.8588183344924668,True
repeat_08,1,1,0.9416127238459268,0.9416127238459268,False
repeat_08,2,2,0.8272882843699203,0.8272882843699203,False
repeat_08,3,3,0.7979200628229738,0.7979200628229738,False
repeat_08,4,4,0.8896956915668993,0.8896956915668993,False
repeat_08,5,5,0.8397762333696478,0.8397762333696478,False
repeat_08,6,6,0.796006096875352,0.796006096875352,False
repeat_09,1,1,-0.9325708328924727,0.9325708328924727,True
repeat_09,2,2,-0.8081415545375707,0.8081415545375707,True
repeat_09,3,3,0.8429428652338988,0.8429428652338988,False
repeat_09,4,4,0.8853787149342264,0.8853787149342264,False
repeat_09,5,6,0.7814212970583987,0.7814212970583987,False
repeat_09,6,5,0.8060954693633551,0.8060954693633551,False
repeat_10,1,1,0.9438126306796593,0.9438126306796593,False
repeat_10,2,2,0.8737814432504399,0.8737814432504399,False
repeat_10,3,3,0.8770965339610257,0.8770965339610257,False
repeat_10,4,4,-0.9106352916840169,0.9106352916840169,True
repeat_10,5,5,-0.6799764902927804,0.6799764902927804,True
repeat_10,6,6,0.6754951246990828,0.6754951246990828,False
