repeat_a,repeat_b,n_sampled_pairs,spearman_similarity_correlation
repeat_01,repeat_02,200000,0.9369337035198185
repeat_01,repeat_03,200000,0.9417050967636489
repeat_01,repeat_04,200000,0.9411507351149598
repeat_01,repeat_05,200000,0.937169389221878
repeat_01,repeat_06,200000,0.9282910374703897
repeat_01,repeat_07,200000,0.9265302349339883
repeat_01,repeat_08,200000,0.9294419139459901
repeat_01,repeat_09,200000,0.9248342996526809
repeat_01,repeat_10,200000,0.9360483814773697
repeat_02,repeat_03,200000,0.9407767769859955
repeat_02,repeat_04,200000,0.9371123645229176
repeat_02,repeat_05,200000,0.9334206963403261
repeat_02,repeat_06,200000,0.9313514617536455
repeat_02,repeat_07,200000,0.9275928541610122
repeat_02,repeat_08,200000,0.9309236928315792
repeat_02,repeat_09,200000,0.9259395854215743
repeat_02,repeat_10,200000,0.9387287214225577
repeat_03,repeat_04,200000,0.9424575299301684
repeat_03,repeat_05,200000,0.9367752021002462
repeat_03,repeat_06,200000,0.933123368667011
repeat_03,repeat_07,200000,0.9286106639064988
repeat_03,repeat_08,200000,0.9341413881019986
repeat_03,repeat_09,200000,0.9273904182092304
repeat_03,repeat_10,200000,0.9421718989798886
repeat_04,repeat_05,200000,0.9386664214507309
repeat_04,repeat_06,200000,0.9376256828398197
repeat_04,repeat_07,200000,0.9318375876995073
repeat_04,repeat_08,200000,0.9363381954439093
repeat_04,repeat_09,200000,0.9299480801950689
repeat_04,repeat_10,200000,0.9387446886549072
repeat_05,repeat_06,200000,0.9272014511783371
repeat_05,repeat_07,200000,0.926261143933623
repeat_05,repeat_08,200000,0.930394041337855
repeat_05,repeat_09,200000,0.9192593733632699
repeat_05,repeat_10,200000,0.9336066414410223
repeat_06,repeat_07,200000,0.924586401067355
repeat_06,repeat_08,200000,0.9299701212215347
repeat_06,repeat_09,200000,0.9238057628629431
repeat_06,repeat_10,200000,0.9309683952975221
repeat_07,repeat_08,200000,0.9226548108139903
repeat_07,repeat_09,200000,0.9217443042065087
repeat_07,repeat_10,200000,0.9295831022102996
repeat_08,repeat_09,200000,0.9286617360898983
repeat_08,repeat_10,200000,0.9335057493299633
repeat_09,repeat_10,200000,0.9260720549555409
