repeat_a,repeat_b,k,mean_nn_jaccard,std_nn_jaccard_across_records
repeat_01,repeat_02,5,0.20339682539682538,0.16909457709889184
repeat_01,repeat_02,10,0.2603758566424975,0.15071514053562735
repeat_01,repeat_02,20,0.33444644640962734,0.14938931683374998
repeat_01,repeat_02,50,0.4429431549239723,0.1482227423333748
repeat_01,repeat_02,100,0.5190714462963875,0.13672315735367527
repeat_01,repeat_02,200,0.5992460077341158,0.11734174081736694
repeat_01,repeat_03,5,0.2142440476190476,0.16901601120711338
repeat_01,repeat_03,10,0.27330883048839705,0.15016166147717316
repeat_01,repeat_03,20,0.3448820813044525,0.14722255279738503
repeat_01,repeat_03,50,0.4533881790908204,0.15290666665330463
repeat_01,repeat_03,100,0.5292993507744311,0.13603526322419243
repeat_01,repeat_03,200,0.6065668752242208,0.11361809348372129
repeat_01,repeat_04,5,0.20928571428571427,0.17213484473385035
repeat_01,repeat_04,10,0.26552172157048315,0.1492631992478627
repeat_01,repeat_04,20,0.3427166871318493,0.1529108307870206
repeat_01,repeat_04,50,0.4519452067841187,0.15309241882460192
repeat_01,repeat_04,100,0.5274071816575095,0.1368307058686144
repeat_01,repeat_04,200,0.6037916773949066,0.11654670790681426
repeat_01,repeat_05,5,0.20460912698412698,0.16709208395537706
repeat_01,repeat_05,10,0.2630868409626149,0.15385638692851128
repeat_01,repeat_05,20,0.33322076146601776,0.147790258833108
repeat_01,repeat_05,50,0.43792350439375516,0.15078428312436065
repeat_01,repeat_05,100,0.5145662830352287,0.1389129908936781
repeat_01,repeat_05,200,0.5921598053814748,0.11855082893141387
repeat_01,repeat_06,5,0.19289285714285714,0.15726202936154274
repeat_01,repeat_06,10,0.24653935877503988,0.14442773522410782
repeat_01,repeat_06,20,0.3193706889372991,0.14559717497672067
repeat_01,repeat_06,50,0.4309988910535013,0.15325271029179063
repeat_01,repeat_06,100,0.5063084039811736,0.14138980449293168
repeat_01,repeat_06,200,0.5830082637238687,0.12038652819761844
repeat_01,repeat_07,5,0.19035317460317458,0.16686978317054393
repeat_01,repeat_07,10,0.2461591513491668,0.1493486458859171
repeat_01,repeat_07,20,0.3198725800366004,0.15089399893325184
repeat_01,repeat_07,50,0.4274118563614596,0.15510841960403515
repeat_01,repeat_07,100,0.5030665801124449,0.14413204514737737
repeat_01,repeat_07,200,0.579894357432815,0.1232623383824766
repeat_01,repeat_08,5,0.2034543650793651,0.1733405547346763
repeat_01,repeat_08,10,0.2609318629426988,0.15057940707827266
repeat_01,repeat_08,20,0.33241012207789844,0.15114321516308457
repeat_01,repeat_08,50,0.43689098367224616,0.15025027618907785
repeat_01,repeat_08,100,0.5102808243428337,0.13431573793240512
repeat_01,repeat_08,200,0.586886583689816,0.11666805386744254
repeat_01,repeat_09,5,0.18584325396825396,0.1568253445326578
repeat_01,repeat_09,10,0.24485970711435107,0.1457388983318455
repeat_01,repeat_09,20,0.3151313723411872,0.14661920749309187
repeat_01,repeat_09,50,0.42484291542288305,0.15499564543508382
repeat_01,repeat_09,100,0.4971879058568695,0.1422958559167099
repeat_01,repeat_09,200,0.5772226832232258,0.12535485361971982
repeat_01,repeat_10,5,0.21702579365079364,0.1734207638407967
repeat_01,repeat_10,10,0.2711262522307414,0.15239727047951104
repeat_01,repeat_10,20,0.34237004970018314,0.147850871313025
repeat_01,repeat_10,50,0.44715992657235293,0.14895973245043978
repeat_01,repeat_10,100,0.5226414713368301,0.1335030237518624
repeat_01,repeat_10,200,0.5994217876588768,0.11511028812136058
repeat_02,repeat_03,5,0.22146230158730157,0.1752064581604773
repeat_02,repeat_03,10,0.2814130864405632,0.15612307364808373
repeat_02,repeat_03,20,0.35070229275548115,0.14997950227551798
repeat_02,repeat_03,50,0.46517858919649085,0.1511521566729719
repeat_02,repeat_03,100,0.5412980124073137,0.1395172381759819
repeat_02,repeat_03,200,0.6143823040328235,0.11788356596051404
repeat_02,repeat_04,5,0.21388492063492062,0.1738479537868238
repeat_02,repeat_04,10,0.2732302399612771,0.16153524164774702
repeat_02,repeat_04,20,0.3435948139138112,0.15203384138868975
repeat_02,repeat_04,50,0.45120417576540983,0.1547657634467626
repeat_02,repeat_04,100,0.5271014904161464,0.1375489326558562
repeat_02,repeat_04,200,0.6028275510042334,0.11809512904543414
repeat_02,repeat_05,5,0.19804761904761906,0.1643979031305442
repeat_02,repeat_05,10,0.25566130597129044,0.1506899538308166
repeat_02,repeat_05,20,0.3318110077983534,0.15043843229880927
repeat_02,repeat_05,50,0.4414538314496059,0.15219215485148796
repeat_02,repeat_05,100,0.5182299086824514,0.13942114973823988
repeat_02,repeat_05,200,0.597096813265228,0.11947331353922598
repeat_02,repeat_06,5,0.2003313492063492,0.1645551487109583
repeat_02,repeat_06,10,0.25598605616949266,0.14840029957835588
repeat_02,repeat_06,20,0.3279752052000897,0.1472675591723157
repeat_02,repeat_06,50,0.4402689008452953,0.15039025828742122
repeat_02,repeat_06,100,0.5211224052532526,0.1401003911017594
repeat_02,repeat_06,200,0.5997963141871989,0.11945789233704297
repeat_02,repeat_07,5,0.19632936507936505,0.1713683866978825
repeat_02,repeat_07,10,0.24775101386401693,0.15215205353540856
repeat_02,repeat_07,20,0.3176784158803993,0.15045351756512645
repeat_02,repeat_07,50,0.4253852264356379,0.15536754662920005
repeat_02,repeat_07,100,0.5061152339729468,0.14280554889606542
repeat_02,repeat_07,200,0.5864674466441732,0.12525535482206213
repeat_02,repeat_08,5,0.2002123015873016,0.16511105321887382
repeat_02,repeat_08,10,0.2627491540537206,0.150657922109095
repeat_02,repeat_08,20,0.3327580282496752,0.1481792640196547
repeat_02,repeat_08,50,0.4363205545323264,0.1462438866321325
repeat_02,repeat_08,100,0.5124826301174138,0.1328303385360187
repeat_02,repeat_08,200,0.5894187196743449,0.11565751840632509
repeat_02,repeat_09,5,0.1902876984126984,0.16127499197443604
repeat_02,repeat_09,10,0.24856437933411615,0.1496554481166723
repeat_02,repeat_09,20,0.3182390825293913,0.15078066344778432
repeat_02,repeat_09,50,0.4279014836762866,0.15346137619344913
repeat_02,repeat_09,100,0.504709195826451,0.14233900675615677
repeat_02,repeat_09,200,0.583372206944012,0.1242014563357837
repeat_02,repeat_10,5,0.2174424603174603,0.17950447544339598
repeat_02,repeat_10,10,0.2781928920322883,0.15828972509505032
repeat_02,repeat_10,20,0.34624975301680405,0.14824881758477773
repeat_02,repeat_10,50,0.4572516366336404,0.15020937692060216
repeat_02,repeat_10,100,0.5344288290941012,0.1374661808935308
repeat_02,repeat_10,200,0.6100330650961389,0.11523553120995232
repeat_03,repeat_04,5,0.2301686507936508,0.1759641512140025
repeat_03,repeat_04,10,0.2891674588311585,0.15834017375692067
repeat_03,repeat_04,20,0.3588375505965451,0.1507203642378121
repeat_03,repeat_04,50,0.4709054739183171,0.15514458366040415
